160504008,NULL,1139100
92391000000108,NULL,713000
Y0529,Imported notes,508100
125681006,NULL,414200
87915002,NULL,373700
21251000000106,NULL,336700
494131000000105,NULL,309700
195967001,NULL,206000
127785005,NULL,186200
92411000000108,NULL,184300
196411000000103,NULL,180700
184229000,NULL,152900
14734007,NULL,151000
72313002,NULL,125400
315570003,NULL,122100
103693007,NULL,114500
Y3713,Imported summary notes,113100
59621000,NULL,105500
315236000,NULL,104500
271310000,NULL,96500
20135006,NULL,86700
Y0de6,Textual Problem,85000
110751000000108,NULL,79300
292954005,NULL,78600
71388002,NULL,75500
416608005,NULL,73600
160303001,NULL,73500
171149006,NULL,73400
171164006,NULL,71000
715051000000108,NULL,70000
160357008,NULL,69600
417662000,NULL,68200
27113001,NULL,64800
38341003,NULL,63200
14679004,NULL,62300
248333004,NULL,60300
275104002,NULL,59000
77248004,NULL,58800
57177007,NULL,56800
Y0384,Smear Under GMS,55200
282100009,NULL,54600
160377001,NULL,53400
266919005,NULL,52000
182817000,NULL,51500
1091811000000102,NULL,50900
364712009,NULL,49900
60621009,NULL,49700
160573003,NULL,48200
160476009,NULL,47800
714311000000108,NULL,47700
